req,origin_station,destination_station,start_driving_time,arriving_time,Rev
1,444,526,2,4,289
1,444,527,2,4,289
1,444,2523,2,4,289
1,1160,60,2,4,289
1,1160,514,2,4,289
1,1160,515,2,4,289
1,1160,518,2,4,289
1,1160,519,2,4,289
1,1160,524,2,5,289
1,1160,526,2,5,289
1,1160,527,2,5,289
1,1160,541,2,5,289
1,1160,1873,2,4,289
1,1160,2517,2,4,289
1,1160,2519,2,4,289
1,1160,2523,2,5,289
1,1160,2676,2,4,289
1,1160,2683,2,5,289
1,1160,6001,2,5,289
1,1160,10025,2,5,289
1,2831,60,2,4,289
1,2831,514,2,4,289
1,2831,515,2,4,289
1,2831,518,2,4,289
1,2831,519,2,4,289
1,2831,524,2,4,289
1,2831,526,2,4,289
1,2831,527,2,4,289
1,2831,541,2,5,289
1,2831,1873,2,4,289
1,2831,2517,2,4,289
1,2831,2519,2,4,289
1,2831,2523,2,4,289
1,2831,2676,2,4,289
1,2831,2683,2,4,289
1,2831,6001,2,4,289
1,2831,10025,2,5,289
1,2869,60,2,5,289
1,2869,515,2,5,289
1,2869,518,2,5,289
1,2869,519,2,5,289
1,2869,526,2,5,289
1,2869,527,2,5,289
1,2869,541,2,5,289
1,2869,1873,2,5,289
1,2869,2519,2,5,289
1,2869,2523,2,5,289
1,2869,2683,2,5,289
1,2869,6001,2,5,289
1,8371,60,2,4,289
1,8371,515,2,4,289
1,8371,518,2,4,289
1,8371,519,2,4,289
1,8371,524,2,4,289
1,8371,526,2,4,289
1,8371,527,2,4,289
1,8371,541,2,5,289
1,8371,1873,2,4,289
1,8371,2519,2,4,289
1,8371,2523,2,4,289
1,8371,2683,2,4,289
1,8371,6001,2,4,289
1,8371,10025,2,5,289
3,625,7213,2,6,444
3,1779,7213,2,6,444
3,1847,7213,2,6,444
3,2185,7213,2,6,444
3,2848,7213,2,6,444
3,10152,7213,2,6,444
6,444,581,3,7,447
6,444,1237,3,7,447
6,444,1669,3,6,447
6,769,1669,3,6,447
6,809,1669,3,7,447
6,1160,581,3,7,447
6,1160,1237,3,7,447
6,1160,1669,3,6,447
6,1594,1669,3,7,447
6,1847,1669,3,6,447
6,2610,1669,3,7,447
6,2831,581,3,7,447
6,2831,1237,3,7,447
6,2831,1669,3,6,447
6,2848,1669,3,6,447
6,2869,1669,3,7,447
6,3273,1669,3,7,447
6,8371,581,3,7,447
6,8371,1237,3,7,447
6,8371,1669,3,6,447
7,444,581,3,7,447
7,444,1237,3,7,447
7,444,1669,3,6,447
7,769,1669,3,6,447
7,809,1669,3,7,447
7,1160,581,3,7,447
7,1160,1237,3,7,447
7,1160,1669,3,6,447
7,1594,1669,3,7,447
7,1847,1669,3,6,447
7,2610,1669,3,7,447
7,2831,581,3,7,447
7,2831,1237,3,7,447
7,2831,1669,3,6,447
7,2848,1669,3,6,447
7,2869,1669,3,7,447
7,3273,1669,3,7,447
7,8371,581,3,7,447
7,8371,1237,3,7,447
7,8371,1669,3,6,447
9,41,19,4,7,323
9,41,514,4,7,323
9,41,2517,4,7,323
9,906,19,4,7,323
9,906,514,4,7,323
9,906,2517,4,7,323
9,1136,19,4,7,323
9,1136,514,4,8,323
9,1136,2517,4,8,323
9,1703,19,4,7,323
9,1703,514,4,7,323
9,1703,2517,4,7,323
9,1710,19,4,7,323
9,1710,60,4,7,323
9,1710,506,4,7,323
9,1710,507,4,7,323
9,1710,509,4,7,323
9,1710,514,4,7,323
9,1710,515,4,7,323
9,1710,2517,4,7,323
9,1710,2670,4,7,323
9,2242,19,4,7,323
9,2242,60,4,7,323
9,2242,506,4,7,323
9,2242,507,4,7,323
9,2242,509,4,7,323
9,2242,514,4,7,323
9,2242,515,4,7,323
9,2242,2517,4,7,323
9,2242,2670,4,7,323
9,7475,19,4,7,323
9,7475,514,4,7,323
9,7475,2517,4,7,323
9,9178,19,4,7,323
9,9178,514,4,7,323
9,9178,2517,4,7,323
9,9178,2670,4,7,323
10,41,19,4,7,323
10,41,514,4,7,323
10,41,2517,4,7,323
10,906,19,4,7,323
10,906,514,4,7,323
10,906,2517,4,7,323
10,1136,19,4,7,323
10,1136,514,4,8,323
10,1136,2517,4,8,323
10,1703,19,4,7,323
10,1703,514,4,7,323
10,1703,2517,4,7,323
10,1710,19,4,7,323
10,1710,60,4,7,323
10,1710,506,4,7,323
10,1710,507,4,7,323
10,1710,509,4,7,323
10,1710,514,4,7,323
10,1710,515,4,7,323
10,1710,2517,4,7,323
10,1710,2670,4,7,323
10,2242,19,4,7,323
10,2242,60,4,7,323
10,2242,506,4,7,323
10,2242,507,4,7,323
10,2242,509,4,7,323
10,2242,514,4,7,323
10,2242,515,4,7,323
10,2242,2517,4,7,323
10,2242,2670,4,7,323
10,7475,19,4,7,323
10,7475,514,4,7,323
10,7475,2517,4,7,323
10,9178,19,4,7,323
10,9178,514,4,7,323
10,9178,2517,4,7,323
10,9178,2670,4,7,323
11,444,1669,4,7,349
11,1160,1669,4,7,349
11,2831,1669,4,7,349
11,8371,1669,4,7,349
13,19,1160,4,6,295
13,60,444,4,6,295
13,60,1160,4,6,295
13,60,2831,4,6,295
13,60,2869,4,7,295
13,60,8371,4,6,295
13,514,1160,4,6,295
13,514,2831,4,6,295
13,514,8371,4,6,295
13,515,444,4,6,295
13,515,1160,4,6,295
13,515,2831,4,6,295
13,515,2869,4,7,295
13,515,8371,4,6,295
13,518,444,4,6,295
13,518,1160,4,6,295
13,518,2831,4,6,295
13,518,2869,4,7,295
13,518,8371,4,6,295
13,519,1160,4,6,295
13,519,2831,4,6,295
13,519,2869,4,7,295
13,519,8371,4,6,295
13,524,1160,4,6,295
13,524,2831,4,6,295
13,524,8371,4,6,295
13,526,444,4,6,295
13,526,1160,4,7,295
13,526,1594,4,7,295
13,526,2831,4,6,295
13,526,2869,4,7,295
13,526,8371,4,6,295
13,527,444,4,6,295
13,527,1160,4,7,295
13,527,1594,4,7,295
13,527,2831,4,6,295
13,527,2869,4,7,295
13,527,8371,4,6,295
13,1873,444,4,6,295
13,1873,1160,4,6,295
13,1873,1594,4,7,295
13,1873,2831,4,6,295
13,1873,2869,4,7,295
13,1873,8371,4,6,295
13,2517,1160,4,6,295
13,2517,2831,4,6,295
13,2517,8371,4,6,295
13,2519,444,4,6,295
13,2519,1160,4,6,295
13,2519,2831,4,6,295
13,2519,2869,4,7,295
13,2519,8371,4,6,295
13,2523,444,4,6,295
